tag,t_s,J1,J2,J3,J4,J5,J6
step01_spd5,0.009,-50.850,-54.320,-22.090,-78.540,89.120,16.300
step01_spd5,0.059,-50.850,-54.320,-22.090,-78.540,89.120,16.300
step01_spd5,0.109,-50.850,-54.320,-22.090,-78.540,89.120,16.300
step01_spd5,0.160,-50.850,-54.320,-22.090,-78.540,89.120,16.301
step01_spd5,0.208,-50.850,-54.320,-22.090,-78.540,89.120,16.303
step01_spd5,0.259,-50.850,-54.320,-22.090,-78.540,89.120,16.303
step01_spd5,0.309,-50.850,-54.320,-22.090,-78.540,89.120,16.308
step01_spd5,0.360,-50.850,-54.320,-22.090,-78.540,89.120,16.308
step01_spd5,0.409,-50.850,-54.320,-22.090,-78.540,89.120,16.318
step01_spd5,0.459,-50.850,-54.320,-22.090,-78.540,89.120,16.331
step01_spd5,0.509,-50.850,-54.320,-22.090,-78.540,89.120,16.350
step01_spd5,0.560,-50.850,-54.320,-22.090,-78.540,89.120,16.350
step01_spd5,0.608,-50.850,-54.320,-22.090,-78.540,89.120,16.391
step01_spd5,0.660,-50.850,-54.320,-22.090,-78.540,89.120,16.391
step01_spd5,0.709,-50.850,-54.320,-22.090,-78.540,89.120,16.437
step01_spd5,0.760,-50.850,-54.320,-22.090,-78.540,89.120,16.437
step01_spd5,0.809,-50.850,-54.320,-22.090,-78.540,89.120,16.498
step01_spd5,0.860,-50.850,-54.320,-22.090,-78.540,89.120,16.559
step01_spd5,0.909,-50.850,-54.320,-22.090,-78.540,89.120,16.559
step01_spd5,0.960,-50.850,-54.320,-22.090,-78.540,89.120,16.628
step01_spd5,1.009,-50.850,-54.320,-22.090,-78.540,89.120,16.713
step01_spd5,1.059,-50.850,-54.320,-22.090,-78.540,89.120,16.713
step01_spd5,1.109,-50.850,-54.320,-22.090,-78.540,89.120,16.866
step01_spd5,1.160,-50.850,-54.320,-22.090,-78.540,89.120,16.866
step01_spd5,1.209,-50.850,-54.320,-22.090,-78.540,89.120,16.976
step01_spd5,1.260,-50.850,-54.320,-22.090,-78.540,89.120,17.126
step01_spd5,1.309,-50.850,-54.320,-22.090,-78.540,89.120,17.126
step01_spd5,1.360,-50.850,-54.320,-22.090,-78.540,89.120,17.274
step01_spd5,1.409,-50.850,-54.320,-22.090,-78.540,89.120,17.414
step01_spd5,1.460,-50.850,-54.320,-22.090,-78.540,89.120,17.414
step01_spd5,1.509,-50.850,-54.320,-22.090,-78.540,89.120,17.616
step01_spd5,1.560,-50.850,-54.320,-22.090,-78.540,89.120,17.616
step01_spd5,1.609,-50.850,-54.320,-22.090,-78.540,89.120,17.818
step01_spd5,1.659,-50.850,-54.320,-22.090,-78.540,89.120,17.818
step01_spd5,1.709,-50.850,-54.320,-22.090,-78.540,89.120,18.030
step01_spd5,1.760,-50.850,-54.320,-22.090,-78.540,89.120,18.207
step01_spd5,1.809,-50.850,-54.320,-22.090,-78.540,89.120,18.378
step01_spd5,1.859,-50.850,-54.320,-22.090,-78.540,89.120,18.378
step01_spd5,1.909,-50.850,-54.320,-22.090,-78.540,89.120,18.561
step01_spd5,1.960,-50.850,-54.320,-22.090,-78.540,89.120,18.735
step01_spd5,2.009,-50.850,-54.320,-22.090,-78.540,89.120,18.735
step01_spd5,2.060,-50.850,-54.320,-22.090,-78.540,89.120,18.971
step01_spd5,2.109,-50.850,-54.320,-22.090,-78.540,89.120,19.144
step01_spd5,2.160,-50.850,-54.320,-22.090,-78.540,89.120,19.144
step01_spd5,2.209,-50.850,-54.320,-22.090,-78.540,89.120,19.326
step01_spd5,2.260,-50.850,-54.320,-22.090,-78.540,89.120,19.326
step01_spd5,2.309,-50.850,-54.320,-22.090,-78.540,89.120,19.534
step01_spd5,2.360,-50.850,-54.320,-22.090,-78.540,89.120,19.709
step01_spd5,2.409,-50.850,-54.320,-22.090,-78.540,89.120,19.709
step01_spd5,2.460,-50.850,-54.320,-22.090,-78.540,89.120,19.951
step01_spd5,2.509,-50.850,-54.320,-22.090,-78.540,89.120,19.951
step01_spd5,2.560,-50.850,-54.320,-22.090,-78.540,89.120,20.146
step01_spd5,2.609,-50.850,-54.320,-22.090,-78.540,89.120,20.297
step01_spd5,2.660,-50.850,-54.320,-22.090,-78.540,89.120,20.297
step01_spd5,2.709,-50.850,-54.320,-22.090,-78.540,89.120,20.439
step01_spd5,2.760,-50.850,-54.320,-22.090,-78.540,89.120,20.564
step01_spd5,2.809,-50.850,-54.320,-22.090,-78.540,89.120,20.679
step01_spd5,2.860,-50.850,-54.320,-22.090,-78.540,89.120,20.679
